10 21997 10.4
20 43571 10.6
30 55354 8.433333333333334
40 59327 6.775
50 61277 5.68
60 63134 4.883333333333334
70 65259 4.271428571428571
80 67437 3.975
90 69577 3.7666666666666666
100 71639 3.61
110 73172 2.61
120 74863 1.65
130 76828 1.45
140 78424 1.38
150 80278 1.44
160 82176 1.53
170 84138 1.65
180 85789 1.57
190 87607 1.51
200 89260 1.42
210 91404 1.63
220 93153 1.65
230 95208 1.67
240 97211 1.78
250 99149 1.77
260 101100 1.8
270 102936 1.79
280 104659 1.83
290 106401 1.81
300 108204 1.86
310 110214 1.84
320 111754 1.8
330 113622 1.71
340 115277 1.61
350 117074 1.58
360 118951 1.55
370 120583 1.51
380 122333 1.5
390 124140 1.54
400 125974 1.52
410 127853 1.47
420 129622 1.53
430 131556 1.5
440 133336 1.52
450 135020 1.52
460 136709 1.49
470 138206 1.43
480 139962 1.45
490 141821 1.47
500 143584 1.44
510 145153 1.38
520 146858 1.34
530 148361 1.3
540 150217 1.31
550 151618 1.21
560 153301 1.18
570 154986 1.23
580 156597 1.16
590 158102 1.04
600 159552 0.96
610 160878 0.85
620 162689 0.89
630 164558 0.97
640 166253 0.93
650 168031 1.0
660 169598 0.96
670 171481 0.96
680 173279 0.99
690 174777 0.99
700 176497 1.05
710 178024 1.09
720 180057 1.05
730 181763 0.96
740 183430 0.92
750 184955 0.84
760 186849 0.85
770 188671 0.8
780 190442 0.75
790 192279 0.77
800 193856 0.68
810 195937 0.72
820 197521 0.64
830 199551 0.65
840 201621 0.71
850 204122 0.77
860 206770 0.84
870 208881 0.85
880 211319 0.9
890 213599 0.95
900 216616 1.02
910 220197 1.15
920 224181 1.3
930 226516 1.31
940 230229 1.41
950 232710 1.39
960 235533 1.28
970 238268 1.22
980 241169 1.19
990 244097 1.15
1000 247167 1.14
1010 250461 1.04
1020 254066 0.95
1030 257702 0.98
1040 261263 0.92
1050 264351 0.95
1060 268502 1.08
1070 272159 1.23
1080 275524 1.4
1090 280040 1.44
1100 283610 1.52
1110 287924 1.47
1120 292666 1.45
1130 297005 1.52
1140 301163 1.46
1150 306960 1.66
1160 312335 1.72
1170 318423 1.7
1180 324595 1.72
1190 330785 1.84
1200 337940 2.03
1210 344778 2.41
1220 352134 3.16
1230 359445 3.76
1240 365370 4.2
1250 370319 4.4
1260 375658 4.75
1270 382261 5.43
1280 387998 6.0
1290 392785 6.55
1300 397534 6.85
1310 402370 6.91
1320 406405 6.72
1330 410724 6.48
1340 416479 6.8
1350 421633 7.03
1360 424569 7.09
1370 428153 6.96
1380 432434 6.96
1390 436883 6.9
1400 440326 6.95
1410 443987 7.15
1420 447827 7.14
1430 451054 7.17
1440 453560 6.74
1450 456284 6.57
1460 459151 6.44
1470 461892 6.29
1480 464315 5.88
1490 466968 5.58
1500 469652 5.3
1510 472314 5.02
1520 475221 4.96
1530 477612 4.83
1540 480108 4.84
1550 482438 4.66
1560 485465 4.71
1570 487830 4.6
1580 490319 4.64
1590 493123 4.76
1600 495614 4.75
1610 498439 4.8
1620 501221 4.64
1630 503822 4.66
1640 506669 4.78
1650 509673 5.05
1660 512219 4.92
1670 514548 4.81
1680 516959 4.68
1690 519456 4.5
1700 521764 4.42
1710 524226 4.39
1720 527204 4.5
1730 529663 4.41
1740 532470 4.37
1750 535154 4.21
1760 538001 4.23
1770 540619 4.37
1780 543167 4.45
1790 545752 4.5
1800 548184 4.59
1810 550814 4.65
1820 553332 4.61
1830 556322 4.85
1840 559067 4.78
1850 562421 4.8
1860 565262 4.84
1870 567886 4.96
1880 571973 5.23
1890 575010 5.43
1900 578094 5.81
1910 580949 5.85
1920 583858 5.96
1930 587650 6.09
1940 590467 6.17
1950 593494 6.29
1960 596390 6.35
1970 599793 6.39
1980 603072 6.41
1990 606915 6.74
2000 610102 6.6
2010 613347 6.67
2020 616326 6.7
2030 619502 6.7
2040 622783 6.88
2050 625987 7.11
2060 629289 7.44
2070 632231 7.48
2080 635667 7.52
2090 638850 7.26
2100 641808 7.3
2110 645061 7.41
2120 648472 7.6
2130 651346 7.5
2140 654497 7.64
2150 657320 7.33
2160 660459 7.11
2170 663891 7.32
2180 667266 7.14
2190 671298 7.33
2200 674321 7.19
2210 677430 7.02
2220 680278 6.71
2230 683293 6.7
2240 686954 6.59
2250 689756 6.55
2260 692936 6.49
2270 695846 6.13
2280 698983 6.33
2290 702099 6.15
2300 705166 6.23
2310 708028 6.22
2320 710599 6.11
2330 713275 6.0
2340 716276 5.8
2350 718898 5.78
2360 722094 5.88
2370 725283 6.12
2380 728605 5.93
2390 731516 5.69
2400 734652 5.64
2410 737995 5.77
2420 741486 6.1
2430 744695 6.33
2440 747943 6.41
2450 751043 6.54
2460 754394 6.51
2470 757871 6.5
2480 761508 6.64
2490 764899 6.88
2500 768124 6.98
2510 771571 6.98
2520 774563 6.84
2530 777755 6.82
2540 781016 6.92
2550 784207 7.02
2560 787219 6.91
2570 790909 6.97
2580 794370 7.26
2590 797620 7.26
2600 801642 7.64
2610 804913 7.74
2620 808182 8.0
2630 811397 7.9
2640 814665 7.92
2650 817648 7.75
2660 820788 7.76
2670 823738 7.49
2680 827206 7.19
2690 830944 7.3
2700 834439 7.06
2710 837739 6.95
2720 841451 6.88
2730 844926 7.1
2740 849019 7.3
2750 852708 7.59
2760 856531 7.69
2770 860433 7.96
2780 863825 7.96
2790 867411 7.95
2800 871201 8.01
2810 874576 8.03
2820 878304 8.11
2830 881441 7.88
2840 885185 7.66
2850 888667 7.51
2860 892088 7.56
2870 895790 7.46
2880 899503 7.6
2890 903244 7.55
2900 906743 7.48
2910 910511 7.73
2920 914375 7.68
2930 917920 7.83
2940 921958 8.07
2950 925715 8.16
2960 929551 8.33
2970 933122 8.35
2980 937200 8.22
2990 941063 8.41
3000 945017 8.44
3010 948900 8.63
3020 952362 8.46
3030 955939 8.45
3040 959949 8.25
3050 963427 8.23
3060 967080 8.17
3070 971017 8.37
3080 974910 8.42
3090 978939 8.32
3100 982680 8.32
3110 986437 7.93
3120 990682 8.28
3130 994639 8.42
3140 998186 8.47
3150 1002435 8.55
3160 1006522 8.63
3170 1010762 8.68
3180 1015232 9.04
3190 1019248 9.07
3200 1023398 9.08
3210 1027673 9.45
3220 1031801 9.48
3230 1035869 9.5
3240 1039341 9.42
3250 1043487 9.48
3260 1047503 9.45
3270 1051794 9.38
3280 1055952 9.24
3290 1059936 9.2
3300 1063755 9.07
3310 1068075 8.88
3320 1072267 8.84
3330 1076044 8.73
3340 1080486 9.08
3350 1084708 9.11
3360 1089022 9.06
